광역지자체명,기초지자체,호텔·콘도형,생활숙박형,여관·여인숙형,기타,전체합계
강원특별자치도,강릉시,74,162,216,56,508
강원특별자치도,고성군,16,85,24,14,139
강원특별자치도,동해시,39,47,51,14,151
강원특별자치도,삼척시,4,33,58,4,99
강원특별자치도,속초시,35,109,108,17,269
강원특별자치도,양구군,2,11,38,7,58
강원특별자치도,양양군,15,212,62,42,331
강원특별자치도,영월군,3,19,27,3,52
강원특별자치도,원주시,34,18,172,14,238
강원특별자치도,인제군,7,24,48,7,86
강원특별자치도,정선군,45,35,64,6,150
강원특별자치도,철원군,4,5,56,1,66
강원특별자치도,춘천시,34,45,161,4,244
강원특별자치도,태백시,7,3,61,3,74
강원특별자치도,평창군,29,102,37,4,172
강원특별자치도,홍천군,2,147,55,16,220
강원특별자치도,화천군,0,21,38,2,61
강원특별자치도,횡성군,8,38,21,3,70
경기도,가평군,36,534,75,16,661
경기도,고양시,30,7,100,2,139
경기도,과천시,0,1,1,0,2
경기도,광명시,13,0,40,2,55
경기도,광주시,1,4,48,4,57
경기도,구리시,7,7,57,3,74
경기도,군포시,2,0,43,0,45
경기도,김포시,30,4,34,2,70
경기도,남양주시,25,23,52,4,104
경기도,동두천시,20,5,25,2,52
경기도,부천시,19,8,138,1,166
경기도,성남시,24,4,287,0,315
경기도,수원시,80,81,283,14,458
경기도,시흥시,21,4,76,0,101
경기도,안산시,24,23,124,10,181
경기도,안성시,12,3,87,5,107
경기도,안양시,9,3,138,5,155
경기도,양주시,12,11,83,10,116
경기도,양평군,13,95,115,22,245
경기도,여주시,6,8,76,6,96
경기도,연천군,1,13,44,6,64
경기도,오산시,9,9,87,2,107
경기도,용인시,76,17,59,2,154
경기도,의왕시,10,0,3,0,13
경기도,의정부시,21,72,96,1,190
경기도,이천시,21,16,81,7,125
경기도,파주시,32,20,89,13,154
경기도,평택시,53,44,149,3,249
경기도,포천시,14,24,122,13,173
경기도,하남시,14,7,13,0,34
경기도,화성시,50,91,101,9,251
경상남도,거제시,29,87,153,14,283
경상남도,거창군,1,7,50,10,68
경상남도,고성군,5,17,60,15,97
경상남도,김해시,22,12,219,6,259
경상남도,남해군,2,76,51,7,136
경상남도,밀양시,4,36,60,9,109
경상남도,사천시,19,15,116,6,156
경상남도,산청군,0,17,40,1,58
경상남도,양산시,20,8,108,8,144
경상남도,의령군,0,2,22,1,25
경상남도,진주시,15,6,218,17,256
경상남도,창녕군,17,0,50,4,71
경상남도,창원시,94,113,577,10,794
경상남도,통영시,31,34,141,8,214
경상남도,하동군,1,14,52,3,70
경상남도,함안군,1,1,39,7,48
경상남도,함양군,4,4,31,1,40
경상남도,합천군,3,8,23,33,67
경상북도,경산시,12,0,67,8,87
경상북도,경주시,43,87,254,28,412
경상북도,고령군,1,2,11,1,15
경상북도,구미시,41,9,231,7,288
경상북도,김천시,8,4,131,4,147
경상북도,문경시,11,13,70,2,96
경상북도,봉화군,0,7,19,0,26
경상북도,상주시,1,9,42,5,57
경상북도,성주군,2,3,30,0,35
경상북도,안동시,18,24,134,4,180
경상북도,영덕군,4,58,55,12,129
경상북도,영양군,2,0,8,0,10
경상북도,영주시,10,4,81,7,102
경상북도,영천시,0,3,73,5,81
경상북도,예천군,0,2,37,0,39
경상북도,울릉군,14,39,56,20,129
경상북도,울진군,14,8,93,10,125
경상북도,의성군,0,0,34,0,34
경상북도,청도군,3,11,39,4,57
경상북도,청송군,1,6,34,2,43
경상북도,칠곡군,5,1,84,4,94
경상북도,포항시,68,72,246,24,410
광주광역시,광산구,19,2,81,16,118
광주광역시,남구,0,3,30,0,33
광주광역시,동구,12,3,111,0,126
광주광역시,북구,15,13,142,16,186
광주광역시,서구,33,9,100,0,142
대구광역시,군위군,1,8,9,2,20
대구광역시,남구,7,3,33,0,43
대구광역시,달서구,11,1,88,4,104
대구광역시,달성군,7,0,43,0,50
대구광역시,동구,29,7,128,5,169
대구광역시,북구,11,0,75,0,86
대구광역시,서구,10,1,41,55,107
대구광역시,수성구,21,0,31,0,52
대구광역시,중구,17,21,53,10,101
대전광역시,대덕구,1,1,81,0,83
대전광역시,동구,8,5,136,0,149
대전광역시,서구,8,23,48,1,80
대전광역시,유성구,24,8,68,3,103
대전광역시,중구,9,49,126,4,188
부산광역시,강서구,17,0,22,5,44
부산광역시,금정구,5,8,56,0,69
부산광역시,기장군,21,29,37,3,90
부산광역시,남구,9,2,4,38,53
부산광역시,동구,35,34,97,10,176
부산광역시,동래구,10,34,89,0,133
부산광역시,부산진구,50,59,151,8,268
부산광역시,북구,14,2,82,1,99
부산광역시,사상구,11,7,97,53,168
부산광역시,사하구,8,3,68,0,79
부산광역시,서구,9,9,69,1,88
부산광역시,수영구,30,154,43,10,237
부산광역시,연제구,11,11,44,2,68
부산광역시,영도구,11,5,57,0,73
부산광역시,중구,55,40,71,12,178
부산광역시,해운대구,113,145,53,50,361
서울특별시,강남구,83,24,35,3,145
서울특별시,강동구,10,1,57,0,68
서울특별시,강북구,7,0,103,10,120
서울특별시,강서구,27,5,71,1,104
서울특별시,관악구,22,6,74,3,105
서울특별시,광진구,14,2,49,0,65
서울특별시,구로구,10,10,101,0,121
서울특별시,금천구,7,5,54,1,67
서울특별시,노원구,5,0,23,0,28
서울특별시,도봉구,4,1,17,0,22
서울특별시,동대문구,15,2,113,1,131
서울특별시,동작구,4,5,26,0,35
서울특별시,마포구,40,11,36,0,87
서울특별시,서대문구,27,0,62,1,90
서울특별시,서초구,20,14,9,1,44
서울특별시,성동구,11,3,54,2,70
서울특별시,성북구,6,0,49,0,55
서울특별시,송파구,27,2,46,2,77
서울특별시,양천구,1,0,12,0,13
서울특별시,영등포구,52,13,154,3,222
서울특별시,용산구,16,8,61,0,85
서울특별시,은평구,15,0,47,0,62
서울특별시,종로구,76,77,140,20,313
서울특별시,중구,196,92,131,17,436
서울특별시,중랑구,13,1,75,0,89
세종특별자치시,-,5,3,74,1,83
울산광역시,남구,22,29,229,2,282
울산광역시,동구,11,4,49,3,67
울산광역시,북구,15,9,13,8,45
울산광역시,울주군,7,7,132,7,153
울산광역시,중구,3,8,77,3,91
인천광역시,강화군,6,78,70,5,159
인천광역시,계양구,10,3,48,0,61
인천광역시,남동구,29,7,49,0,85
인천광역시,동구,2,1,40,1,44
인천광역시,미추홀구,26,19,138,1,184
인천광역시,부평구,3,23,152,0,178
인천광역시,서구,18,7,58,0,83
인천광역시,연수구,43,18,21,0,82
인천광역시,옹진군,3,159,41,8,211
인천광역시,중구,89,154,90,3,336
전라남도,강진군,4,6,27,2,39
전라남도,고흥군,12,9,38,6,65
전라남도,곡성군,4,10,10,2,26
전라남도,광양시,18,4,81,6,109
전라남도,구례군,9,28,24,8,69
전라남도,나주시,14,5,35,7,61
전라남도,담양군,7,54,12,5,78
전라남도,목포시,60,9,229,8,306
전라남도,무안군,5,29,27,8,69
전라남도,보성군,6,14,21,4,45
전라남도,순천시,20,75,149,6,250
전라남도,신안군,3,13,50,5,71
전라남도,여수시,34,315,211,17,577
전라남도,영광군,2,10,24,14,50
전라남도,영암군,7,10,36,12,65
전라남도,완도군,3,41,71,7,122
전라남도,장성군,1,5,23,0,29
전라남도,장흥군,5,2,22,2,31
전라남도,진도군,2,4,26,6,38
전라남도,함평군,2,3,14,1,20
전라남도,해남군,10,8,55,5,78
전라남도,화순군,14,5,25,4,48
전북특별자치도,고창군,5,38,31,1,75
전북특별자치도,군산시,59,16,135,2,212
전북특별자치도,김제시,1,0,57,5,63
전북특별자치도,남원시,10,17,57,7,91
전북특별자치도,무주군,4,89,36,27,156
전북특별자치도,부안군,4,35,76,17,132
전북특별자치도,순창군,0,2,19,4,25
전북특별자치도,완주군,9,13,37,16,75
전북특별자치도,익산시,6,3,150,2,161
전북특별자치도,임실군,0,2,15,2,19
전북특별자치도,장수군,1,3,7,2,13
전북특별자치도,전주시,78,18,262,25,383
전북특별자치도,정읍시,2,7,75,14,98
전북특별자치도,진안군,0,2,8,0,10
제주특별자치도,서귀포시,148,302,113,30,593
제주특별자치도,제주시,223,322,334,43,922
충청남도,계룡시,0,0,22,1,23
충청남도,공주시,6,14,116,3,139
충청남도,금산군,4,3,46,4,57
충청남도,논산시,9,6,109,1,125
충청남도,당진시,7,20,86,4,117
충청남도,보령시,27,195,146,5,373
충청남도,부여군,0,9,45,2,56
충청남도,서산시,19,13,112,22,166
충청남도,서천군,2,15,34,11,62
충청남도,아산시,33,9,156,10,208
충청남도,예산군,7,21,81,18,127
충청남도,천안시,56,20,178,71,325
충청남도,청양군,1,4,16,5,26
충청남도,태안군,5,383,108,38,534
충청남도,홍성군,9,5,50,3,67
충청북도,괴산군,2,17,20,4,43
충청북도,단양군,4,7,38,5,54
충청북도,보은군,5,6,57,9,77
충청북도,영동군,1,5,22,7,35
충청북도,옥천군,3,2,30,1,36
충청북도,음성군,12,15,62,2,91
충청북도,제천시,8,9,112,18,147
충청북도,증평군,1,0,27,2,30
충청북도,진천군,16,3,47,3,69
충청북도,청주시,95,22,239,3,359
충청북도,충주시,48,8,108,0,164
